SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
103,C,https://i.imgur.com/qn02HaC.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,B,https://i.imgur.com/dtpjlSW.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,B,https://i.imgur.com/0BtVCQ0.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
107,D,https://i.imgur.com/6MX9SI7.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
108,A,https://i.imgur.com/bj7Ys5l.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
109,D,https://i.imgur.com/jZkSrg8.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
110,A,https://i.imgur.com/5JePBe0.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
111,B,https://i.imgur.com/atkBm84.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
112,D,https://i.imgur.com/YnaI95z.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
113,A,https://i.imgur.com/2r4ubkC.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
114,B,https://i.imgur.com/HxxxrK9.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
115,A,https://i.imgur.com/bpB2mju.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
116,A,https://i.imgur.com/4YkNVw1.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
117,A,https://i.imgur.com/ZmeVnoq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
118,A,https://i.imgur.com/DvriHJB.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
119,B,https://i.imgur.com/8CoQkWy.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
120,B,https://i.imgur.com/87avSr8.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
121,B,https://i.imgur.com/OTI4mIf.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
122,A,https://i.imgur.com/j4nEUbX.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
123,B,https://i.imgur.com/5zl1Yje.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
124,C,https://i.imgur.com/dc50dpN.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
125,D,https://i.imgur.com/DTJ6mXS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
126,D,https://i.imgur.com/MoO0EHv.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
127,D,https://i.imgur.com/wmL92QX.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
128,D,https://i.imgur.com/c3p2Km2.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
129,C,https://i.imgur.com/8ImDlID.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
130,C,https://i.imgur.com/3aixWXH.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
131,A,https://i.imgur.com/m2UvNVh.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
132,B,https://i.imgur.com/hcJvynN.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
133,D,https://i.imgur.com/7PRQEC0.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
134,C,https://i.imgur.com/5WCUOlC.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
135,C,https://i.imgur.com/pbN0oBO.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
136,A,https://i.imgur.com/rVmeZHv.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
137,C,https://i.imgur.com/ksaUFN3.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
138,A,https://i.imgur.com/KC5UA6G.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
139,C,https://i.imgur.com/SN5nZPd.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
140,B,https://i.imgur.com/m4HYEjB.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
141,A,https://i.imgur.com/V4Iy4zH.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
142,D,https://i.imgur.com/0ZVlDbJ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
144,A,https://i.imgur.com/eXyFBEt.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
145,B,https://i.imgur.com/57uz7TA.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
146,C,https://i.imgur.com/MzraXNB.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
147,A,https://i.imgur.com/eiAoHJW.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
148,A,https://i.imgur.com/zyFUj44.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
149,C,https://i.imgur.com/5GF8kks.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
150,A,https://i.imgur.com/y1kG0Ac.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
151,A,https://i.imgur.com/inPKIgK.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
152,B,https://i.imgur.com/eQJPCpN.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
153,A,https://i.imgur.com/mtEidls.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
154,B,https://i.imgur.com/A1h7VX5.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
155,B,https://i.imgur.com/ErmDpMH.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
156,B,https://i.imgur.com/KFvuvij.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
157,B,https://i.imgur.com/4mX4YTI.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
158,B,https://i.imgur.com/DKBBa3H.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
159,A,https://i.imgur.com/byJ57Pq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
160,B,https://i.imgur.com/6CifFcC.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
161,A,https://i.imgur.com/S4OftdS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
162,A,https://i.imgur.com/sjzipxh.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
163,A,https://i.imgur.com/Ba4tW1j.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
164,C,https://i.imgur.com/ZgPLhqh.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
165,A,https://i.imgur.com/X46Q4Zu.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
166,B,https://i.imgur.com/LlQQK9Y.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
167,C,https://i.imgur.com/Hrdjdc4.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
168,C,https://i.imgur.com/JkDHgd2.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
169,B,https://i.imgur.com/mfHfr8t.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
170,A,https://i.imgur.com/OenM18V.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
171,B,https://i.imgur.com/bz1ASfo.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
172,D,https://i.imgur.com/AM9xkFn.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
173,B,https://i.imgur.com/2VNlroK.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
174,B,https://i.imgur.com/YXkR9m1.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
175,C,https://i.imgur.com/RHRufdj.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
176,B,https://i.imgur.com/7aBPPdu.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
177,B,https://i.imgur.com/Q0Rk1VK.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
178,C,https://i.imgur.com/9IecWbe.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
179,B,https://i.imgur.com/dfY78gQ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
181,D,https://i.imgur.com/o34oqNv.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
182,A,https://i.imgur.com/lN42pmq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
183,B,https://i.imgur.com/cKSliXz.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
184,A,https://i.imgur.com/JK9MVq9.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
185,D,https://i.imgur.com/PXS2lpG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
186,D,https://i.imgur.com/839YZTX.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
187,A,https://i.imgur.com/YsUCYaq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
188,B,https://i.imgur.com/Ysud15f.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
189,B,https://i.imgur.com/oP02QPf.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
191,C,https://i.imgur.com/iS23Kvq.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
