,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
17,b,https://i.imgur.com/Yel4nau.png,locopilot_electrical,A,B,C,D,31.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,b,https://i.imgur.com/2Wkjhg1.png,locopilot_electrical,A,B,C,D,32.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,a,https://i.imgur.com/Qgoykb1.png,locopilot_electrical,A,B,C,D,33.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,b,https://i.imgur.com/nWKkUp5.png,locopilot_electrical,A,B,C,D,34.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,b,https://i.imgur.com/oFjCZhi.png,locopilot_electrical,A,B,C,D,35.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,b,https://i.imgur.com/eifHJnQ.png,locopilot_electrical,A,B,C,D,36.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,d,https://i.imgur.com/fD0K5x1.png,locopilot_electrical,A,B,C,D,37.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,d,https://i.imgur.com/t6wpbE2.png,locopilot_electrical,A,B,C,D,38.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,a,https://i.imgur.com/cXaqWHW.png,locopilot_electrical,A,B,C,D,39.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,b,https://i.imgur.com/VRc9t1k.png,locopilot_electrical,A,B,C,D,40.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,d,https://i.imgur.com/Dawe99k.png,locopilot_electrical,A,B,C,D,41.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,d,https://i.imgur.com/O5uLkru.png,locopilot_electrical,A,B,C,D,42.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,c,https://i.imgur.com/Ok37DPV.png,locopilot_electrical,A,B,C,D,43.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,a,https://i.imgur.com/cwSk3vA.png,locopilot_electrical,A,B,C,D,44.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,d,https://i.imgur.com/ft2r5fU.png,locopilot_electrical,A,B,C,D,45.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,a,https://i.imgur.com/ydmSND6.png,locopilot_electrical,A,B,C,D,46.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,a,https://i.imgur.com/VcDIJI8.png,locopilot_electrical,A,B,C,D,47.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,a,https://i.imgur.com/wSIV6ns.png,locopilot_electrical,A,B,C,D,48.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,b,https://i.imgur.com/YZkMWQT.png,locopilot_electrical,A,B,C,D,49.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,d,https://i.imgur.com/Lr4nKUC.png,locopilot_electrical,A,B,C,D,50.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,c,https://i.imgur.com/xFpIop8.png,locopilot_electrical,A,B,C,D,51.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,c,https://i.imgur.com/PWlwm18.png,locopilot_electrical,A,B,C,D,52.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,a,https://i.imgur.com/1UH9Mm5.png,locopilot_electrical,A,B,C,D,53.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,c,https://i.imgur.com/KcAqNMk.png,locopilot_electrical,A,B,C,D,54.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
