SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
16,A,https://i.imgur.com/cEaDd7i.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,C,https://i.imgur.com/Hnj3zle.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,B,https://i.imgur.com/ZN2GWtC.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,A,https://i.imgur.com/LWOg66z.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,A,https://i.imgur.com/ibeVmbg.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,B,https://i.imgur.com/hFQYEdF.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,B,https://i.imgur.com/FSYqQvD.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,A,https://i.imgur.com/NzjyaBQ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,D,https://i.imgur.com/DQgQyAX.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/yvjSuM0.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,C,https://i.imgur.com/hrFgTC5.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/4llIrkX.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,B,https://i.imgur.com/06iPuh3.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,A,https://i.imgur.com/CbHlbmU.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,B,https://i.imgur.com/VXvHIDU.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,B,https://i.imgur.com/ygyfxlq.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,A,https://i.imgur.com/Dap9HbZ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,B,https://i.imgur.com/dA5xXkU.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,D,https://i.imgur.com/XwaVVRU.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/N3VHckc.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,C,https://i.imgur.com/NlkCgo1.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,B,https://i.imgur.com/CLrj4m2.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/0AtsDoP.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,B,https://i.imgur.com/3p4F9Cf.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,B,https://i.imgur.com/2nrzXuZ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,C,https://i.imgur.com/VtWbn50.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,B,https://i.imgur.com/nPz42OR.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,C,https://i.imgur.com/itswUg9.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,B,https://i.imgur.com/rh4Iu3c.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,B,https://i.imgur.com/wFSgUMA.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,B,https://i.imgur.com/gwDny5t.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,B,https://i.imgur.com/wfuhMt6.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,D,https://i.imgur.com/IA2sgXw.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,D,https://i.imgur.com/U0blHVB.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,C,https://i.imgur.com/U5vNeMo.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,A,https://i.imgur.com/1e5pdUG.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,C,https://i.imgur.com/X3A8jst.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,A,https://i.imgur.com/b3aM2VW.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,B,https://i.imgur.com/zcc0XPY.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,C,https://i.imgur.com/QGoA4f7.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,D,https://i.imgur.com/1jkDQU5.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,B,https://i.imgur.com/CAJqfo7.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,D,https://i.imgur.com/f1lvspO.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,C,https://i.imgur.com/QzI4w1O.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,A,https://i.imgur.com/ZdzAyTB.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,A,https://i.imgur.com/u0Ft0Kw.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,D,https://i.imgur.com/lvA2xsY.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,B,https://i.imgur.com/yPTcmfC.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,A,https://i.imgur.com/MJ8rAPW.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,A,https://i.imgur.com/6jG4Oy1.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/eh6lpf9.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,C,https://i.imgur.com/HVsVB2z.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,B,https://i.imgur.com/p2a250E.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,A,https://i.imgur.com/EZeuona.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
