num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
22,4,https://i.imgur.com/H4cyPRS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
23,1,https://i.imgur.com/JoWv7rI.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
24,3,https://i.imgur.com/Y9juRqB.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
25,3,https://i.imgur.com/2scchox.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
26,4,https://i.imgur.com/C150Luk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
27,4,https://i.imgur.com/sADpc5Q.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
28,2,https://i.imgur.com/8B4mu35.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
29,1,https://i.imgur.com/yY3Wk5I.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
30,4,https://i.imgur.com/7GnQhAk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
31,2,https://i.imgur.com/6qqzxYQ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
32,1,https://i.imgur.com/8vuZiIV.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
33,2,https://i.imgur.com/CV16FEz.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
34,3,https://i.imgur.com/5pnAyMQ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
35,1,https://i.imgur.com/xHm5Zaf.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
36,1,https://i.imgur.com/z9NGkbn.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
37,4,https://i.imgur.com/rCkx1aW.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
38,4,https://i.imgur.com/jrFwLSS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
39,1,https://i.imgur.com/T4fzR0N.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
40,1,https://i.imgur.com/13HjAiY.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
41,3,https://i.imgur.com/LSzHogX.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
42,4,https://i.imgur.com/GfAmAQ6.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
43,3,https://i.imgur.com/tg2M405.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
44,2,https://i.imgur.com/l6u9qhN.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
45,3,https://i.imgur.com/klwpL4H.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
46,1,https://i.imgur.com/TEsGbRW.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
47,3,https://i.imgur.com/7CAbVwl.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
48,3,https://i.imgur.com/L1EkIyo.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
49,1,https://i.imgur.com/eLsYJlA.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
50,2,https://i.imgur.com/Ccqgwvs.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
51,2,https://i.imgur.com/RNgapcx.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
52,2,https://i.imgur.com/7MGnd8Q.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
53,3,https://i.imgur.com/47hKM9z.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
54,4,https://i.imgur.com/x5A8YME.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
55,4,https://i.imgur.com/8md2r7V.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
56,2,https://i.imgur.com/3d8AZ3C.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
57,2,https://i.imgur.com/r8c7Di0.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
58,2,https://i.imgur.com/D4b7Zk6.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
59,3,https://i.imgur.com/kSrSf2M.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
60,4,https://i.imgur.com/Slqd4j9.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
61,3,https://i.imgur.com/2sBwODS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
62,4,https://i.imgur.com/WOirljK.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
63,3,https://i.imgur.com/TeFZ7ae.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
64,4,https://i.imgur.com/1FdGy17.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
65,2,https://i.imgur.com/LsrSs0S.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
66,3,https://i.imgur.com/xBxYVXA.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
67,4,https://i.imgur.com/dPcdetj.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
68,1,https://i.imgur.com/lOVg0nX.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
69,4,https://i.imgur.com/1qmc4lf.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
70,2,https://i.imgur.com/TwG7H3y.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
71,2,https://i.imgur.com/g3fi7XM.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
72,4,https://i.imgur.com/dEm0p4g.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
73,3,https://i.imgur.com/IiBSnhs.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
74,4,https://i.imgur.com/1koWFB1.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
75,2,https://i.imgur.com/WkZZYlS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
76,2,https://i.imgur.com/pGnPEKr.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
77,4,https://i.imgur.com/rHRvPrU.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
78,1,https://i.imgur.com/qQiDHn3.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
79,2,https://i.imgur.com/Wk7OtpT.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
80,3,https://i.imgur.com/pTjv19k.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
81,2,https://i.imgur.com/QSPIdRh.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
82,2,https://i.imgur.com/nBKdlwK.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
83,1,https://i.imgur.com/inTliMp.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
84,3,https://i.imgur.com/2jUnGQg.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
85,4,https://i.imgur.com/3LijYLJ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
86,4,https://i.imgur.com/xj9irNc.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
87,1,https://i.imgur.com/T7Pgp6B.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
88,3,https://i.imgur.com/ZeYQryP.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
89,4,https://i.imgur.com/wmSEcyk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
90,3,https://i.imgur.com/4gcAwSy.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
91,3,https://i.imgur.com/H47D9Fa.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
92,4,https://i.imgur.com/sECtzhe.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
93,4,https://i.imgur.com/y7R6GkE.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
94,1,https://i.imgur.com/yuFZhqh.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
95,4,https://i.imgur.com/9hXnrUc.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
96,3,https://i.imgur.com/KKRoeDO.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
97,4,https://i.imgur.com/LHjE0E1.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
98,4,https://i.imgur.com/hlBeRF3.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
99,3,https://i.imgur.com/Ynskotu.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
100,2,https://i.imgur.com/PIS2fVp.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
