num,correct,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
33,2,https://i.imgur.com/htwegj8.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
34,3,https://i.imgur.com/iw78bW4.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
35,1,https://i.imgur.com/IFooneL.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
36,1,https://i.imgur.com/P5tQdv0.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
37,4,https://i.imgur.com/BqOTe1V.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
38,4,https://i.imgur.com/K80faN8.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
39,1,https://i.imgur.com/PYfwhM2.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
40,1,https://i.imgur.com/EIWSXwT.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
41,3,https://i.imgur.com/QHJeYF1.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
42,4,https://i.imgur.com/UQTvyhy.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
43,3,https://i.imgur.com/eCYXq7E.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
44,2,https://i.imgur.com/ZMStVIi.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
45,3,https://i.imgur.com/bgCxpnM.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
46,1,https://i.imgur.com/9y4xPvO.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
47,3,https://i.imgur.com/OpxDc8P.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
48,3,https://i.imgur.com/6Diw4oE.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
49,1,https://i.imgur.com/BBMzso8.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
50,2,https://i.imgur.com/kvHxt9H.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
51,2,https://i.imgur.com/ITQPK3v.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
52,2,https://i.imgur.com/OQkElMC.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
53,3,https://i.imgur.com/ZqGQtD0.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
54,4,https://i.imgur.com/LhaMREB.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
55,4,https://i.imgur.com/85t2KPw.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
56,2,https://i.imgur.com/jjFuafd.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
57,2,https://i.imgur.com/jvuCwu2.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
58,2,https://i.imgur.com/UrWnscq.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
59,3,https://i.imgur.com/mMg6ydV.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
60,4,https://i.imgur.com/hnPOTPM.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
61,3,https://i.imgur.com/c9qZWwB.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
62,4,https://i.imgur.com/kt6DDQ5.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
63,3,https://i.imgur.com/3DWNj9n.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
64,4,https://i.imgur.com/q4EHWtu.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
65,2,https://i.imgur.com/1vmJVqH.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
66,3,https://i.imgur.com/K3Sj9IX.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
67,4,https://i.imgur.com/CaAcbI5.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
68,1,https://i.imgur.com/rTaRgTE.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
69,4,https://i.imgur.com/VCCFkUk.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
70,2,https://i.imgur.com/YmX8te3.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
71,2,https://i.imgur.com/qqsrVna.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
72,4,https://i.imgur.com/PDeWdJ2.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
73,3,https://i.imgur.com/DMbPCHO.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
74,4,https://i.imgur.com/AC5H5ep.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
75,2,https://i.imgur.com/PjcODZj.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
76,2,https://i.imgur.com/G2Lr2w6.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
77,4,https://i.imgur.com/ek8RC5l.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
78,1,https://i.imgur.com/9sANYmf.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
79,2,https://i.imgur.com/7KmAwu4.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
80,3,https://i.imgur.com/gTfWJOt.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
81,2,https://i.imgur.com/EV37Ks1.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
82,2,https://i.imgur.com/GbpdidM.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
83,1,https://i.imgur.com/bTnRPIM.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
84,3,https://i.imgur.com/FTxtCke.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
85,4,https://i.imgur.com/i3e2A84.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
86,4,https://i.imgur.com/aF6z6QH.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
87,1,https://i.imgur.com/sdttzZp.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
88,3,https://i.imgur.com/jg1jJuT.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
89,4,https://i.imgur.com/FWmUoZh.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
90,3,https://i.imgur.com/VZKQ1XU.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
91,3,https://i.imgur.com/hpZCk0Y.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
92,4,https://i.imgur.com/aZdU34C.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
93,4,https://i.imgur.com/6kAVDn1.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
94,1,https://i.imgur.com/yYnqWkW.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
95,4,https://i.imgur.com/aHzRHcA.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
96,3,https://i.imgur.com/PcCNWrO.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
97,4,https://i.imgur.com/LTjYvf3.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
98,4,https://i.imgur.com/kQNylHC.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
99,3,https://i.imgur.com/pITsMGo.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
100,2,https://i.imgur.com/3z60v9a.png,1.1,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10
