,Category,Correct,OptionA,OptionB,OptionC,OptionD,Questions
19,2.1,c,Writer, Editor, Director, Producer," Direction: In each of the following questions, select the related word from the given alternatives. Book : Publisher : : Film ; ? "
20,2.1,a,Books, Library, Newspaper, Rack," Direction: In each of the following questions, select the related word from the given alternatives. Menu : Food : : Catalogue : ? "
21,2.1,c,Ribs, Skull, Body, Grace," Direction: In each of the following questions, select the related word from the given alternatives. Framework : House : : Skeleton : ? "
22,2.1,c,Tuesday, Monday, Friday, Saturday," Direction: In each of the following questions, select the related word from the given alternatives. January : November : : Sunday : ? "
23,2.1,c, Pavement, Crutch,Legs,Walking," Direction: In each of the following questions, select the related word from the given alternatives. Taste : Tongue : : Walk : ? "
24,2.1,a,Gun : Bullet,House : Roof,Clay : Ceramic,Tea : Kettle," Direction: In each of the following questions, select the related word from the given alternatives. Chimney : Smoke : : ? : ? "
25,2.1,a,Bulb, Night, Light, Shutter," Direction: In each of the following questions, select the related word from the given alternatives. Camera : Lens : : Flash : ? "
26,2.1,a,Interest, Investment, Country, MoneyQ28.," Direction: In each of the following questions, select the related word from the given alternatives. House : Rent : : Capital : ? "
27,2.1,d,Museum, Stone, Chisel, Statue," Direction: In each of the following questions, select the related word from the given alternatives. Architect : Building : : Sculptor : ? "
28,2.1,b,Weight, Gravitation, Jungle, Sea," Direction: In each of the following questions, select the related word from the given alternatives. Ice : Coldness : : Earth : ? "
29,2.1,c,Disorder,Monarchy,Government,Lawlessness," Direction: In each of the following questions, select the related word from the given alternatives. Anaemia : Blood : : Anarchy : ? "
30,2.3,c,Table : Carpenter,Journal : Journalist,Author : Novel,Blacksmith : Furnace," Direction: In each of the following questions, select the related word from the given alternatives. Editor : Newspaper : : ___ : ___ "
31,2.1,c, Ordinary, Secondary, Primary, Intermediary," Direction: In each of the following questions, select the related word from the given alternatives. Hour : Second : : Tertiary : ? "
32,2.1,c, Cells, Power, Terminals, Energy," Direction: In each of the following questions, select the related word from the given alternatives. Poles : Magnet : : ? : Battery "
33,2.1,c,Build,Construction,Destruction,Manufacture," Direction: In each of the following questions, select the related word from the given alternatives. Peace : Chaos : : Creation : ? "
34,2.1,a, guard, lock, sure, conserve," Direction: In each of the following questions, select the related word from the given alternatives. Safe : Secure : : Protect : ? "
35,2.1,b, Punishment, Judgement, Lawyer, Court," Direction: In each of the following questions, select the related word from the given alternatives. Physician : Treatment : : Judge : ? "
36,2.1,c, Anvil, Chopper, Chisel, Trowel," Direction: In each of the following questions, select the related word from the given alternatives. Doctor : Stethoscope : : Sculptor : ? "
37,2.1,c, Experiment, Service, Experience, Appointment," Direction: In each of the following questions, select the related word from the given alternatives. Study : Knowledge : : Work :? "
38,2.1,b,Iron, Factory, Ore, Mine," Direction: In each of the following questions, select the related word from the given alternatives. Paddy : Field : : Steel : ? "
39,2.1,d, Fear, Anger, Fireball, Explode," Direction: In each of the following questions, select the related word from the given alternatives. Laugh : Joke : : ? : Cracker "
40,2.1,a, England, China, Jordan, France," Direction: In each of the following questions, select the related word from the given alternatives. President : India : : King : ? "
41,2.1,b, Audio, Wave, Hear, Visual," Direction: In each of the following questions, select the related word from the given alternatives. Light : Rays : : Sound : ? "
42,2.1,a, North-West, South East, North, East," Direction: In each of the following questions, select the related word from the given alternatives. West : North–East : : South : ? "
43,2.1,a, Island, Peninsula, Backwaters, Cliff," Direction: In each of the following questions, select the related word from the given alternatives. Oasis : Desert : : ? : Sea "
44,2.1,a, Hockey,Horse, Ride,Stick," Direction: In each of the following questions, select the related word from the given alternatives. Pound : Yen : : Polo : ? "
45,2.1,b, Fox,Horse, Frog,Cat," Direction: In each of the following questions, select the related word from the given alternatives. Quack : Duck : Neigh : ? "
46,2.1,b, Untruth, Truth, Fairness, Correctness," Direction: In each of the following questions, select the related word from the given alternatives. Dream : Reality : : Falsehood : ? "
47,2.1,d,Navy, Fleet, Cavalry, Herd," Direction: In each of the following questions, select the related word from the given alternatives. Soldier : Regiment : : Horse : ? "
48,2.1,a, Coins, Maps, Jewels, Samples," Direction: In each of the following questions, select the related word from the given alternatives. Philatelist : Stamps : : Numismatist : ? "
49,2.1,d,Photographic paper,Voltage controller,Electricity,Paper," Direction: In each of the following questions, select the related word from the given alternatives. PHOTO : FILM : : PHOTOSTAT : ? "
50,2.1,b, Anger, Pain, Jealousy, Malice," Direction: In each of the following questions, select the related word from the given alternatives. Sorrow : Joy : : Pleasure : ? "
51,2.3,c,Doctor : Prescription,Refugee : Asylum,Blacksmith : Hammer,Driver : Brake oil," Direction: In each of the following questions, select the related word from the given alternatives. Surgeon : Forceps : : ? "
52,2.1,b,Rope, Mesh, Sieve, Telegraph," Direction: In each of the following questions, select the related word from the given alternatives. Thread : Cloth : : Wire : ? "
53,2.1,b,Stone : Grinder,Axe : Wood,Knife : Stone,Gun : Hunt," Direction: In each of the following questions, select the related word from the given alternatives. Scissors : Cloth : : ? "
54,2.1,b,April, May, January, June," Direction: In each of the following questions, select the related word from the given alternatives. Yesterday : Tomorrow : : March : ?"
55,2.1,c,love, jealous, detest, rude," Direction: In each of the following questions, select the related word from the given alternatives. bifurcate : divide : : loathe : ? "
56,2.1,c,Vehicle, Speed, Signal light, Path," Direction: In each of the following questions, select the related word from the given alternatives. River : Dam : : Traffic : ? "
57,2.1,a,Artifacts, Archipelago, Arbiter, Aquatic," Direction: In each of the following questions, select the related word from the given alternatives. Ornithologist : Birds : : Archaeologist : ? "
58,2.1,c,Courageous, Dangerous, Timid, Ferocious," Direction: In each of the following questions, select the related word from the given alternatives. Fox : Cunning : : Rabbit : ? "
59,2.1,a,Diffidence, Indifference, Cowardice, Scare," Direction: In each of the following questions, select the related word from the given alternatives. Flexible : Rigid : : Confidence : ? "
60,2.1,b, JOY, LAUGHTER, FROWN, WEEP," Direction: In each of the following questions, select the related word from the given alternatives. SORROW : CRY : : MIRTH : ? "
61,2.1,c, Sorrowful, Miserable, Humble, Conceited," Direction: In each of the following questions, select the related word from the given alternatives. Love : Hate : : Proud : ? "
62,2.1,a, Ignorance, Intelligence, Brightness, Creative," Direction: In each of the following questions, select the related word from the given alternatives. Light : Darkness : : Knowledge : ? "
63,2.1,b,Pen : Ink,Razor : Beard,Furnace : Smoke,Nail : Hammer," Direction: In each of the following questions, select the related word from the given alternatives. Scissors : Cloth : : ? "
64,2.1,d, Heat, Mercury, Scale, Thermometer," Direction: In each of the following questions, select the related word from the given alternatives. Stethoscope : Heartbeat : : ? : Temperature "
65,2.1,a,Sunday : Monday,Thursday : Wednesday,Tuesday : Friday,Friday : Monday," Direction: In each of the following questions, select the related word from the given alternatives. Spring : Summer : : ? "
66,2.1,b, Ant, Fox, Rabbit, Horse," Direction: In each of the following questions, select the related word from the given alternatives. Timid : Ass : : Cunning : ? "
67,2.1,d,Congratulations : Occasion,Diligent : Successful,Measure : Scale,Humiliation : Exaltation," Direction: In each of the following questions, select the related word from the given alternatives. Ecstasy : Gloom : : ? "
68,2.1,d,Chief Minister,Prime Minister,Speaker,Governor," Direction: In each of the following questions, select therelated word from the given alternatives. Country : President : : State : ? "
69,2.3,c,Sky : Illusion,Rainbow : Sky,Rain : Rainbow,Image : Mirror," Direction: In each of the following questions, select the related word from the given alternatives. Mirage : Desert : : ? "
70,2.1,c, Feathers, Leaves, Fur, Skin," Direction: In each of the following questions, select the related word from the given alternatives. Fish : Scales : : Bear : ? "
71,2.3,c,Needle : Tailor,Artist : Brush,Painter : Canvas,Teacher : Class," Direction: In each of the following questions, select the related word from the given alternatives. Writer : Pen : : ? "
72,2.1,c, Space, Sun, Orbit, Highway," Direction: In each of the following questions, select the related word from the given alternatives. Procession : Route : : Earth : ? "
73,2.3,c,TEACHER : EDUCATION,CHLORINE : WATER,TONIC : BODY,PESTICIDE : RATS," Direction: In each of the following questions, select the related word from the given alternatives. FERTILIZER : CROPS : : ? "
74,2.1,c, Earth,Gold, Attract, Weight," Direction: In each of the following questions, select the related word from the given alternatives. Gravity : Pull : : Magnetism : ? "
75,2.1,c, Hand, Leg, Ankle, Fingers," Direction: In each of the following questions, select the related word from the given alternatives. ? : Knee : : Wrist : Elbow "
76,2.1,a, Sound, Ear, Tune, Instrument," Direction: In each of the following questions, select the related word from the given alternatives. Face : Expression : : Music : ? "
77,2.1,d, Morning, Noon, Evening, Dawn," Direction: In each of the following questions, select the related word from the given alternatives. Day : Night : : Dusk : ? "
78,2.1,a, Broadcast, News, Music, Dawn," Direction: In each of the following questions, select the related word from the given alternatives. Television : Telecast : : Radio : ? "
79,2.1,b,Air Field, Hanger, Air Port, Runway," Direction: In each of the following questions, select the related word from the given alternatives. Motor Car : Garage : : Aeroplane : ? "
80,2.1,d,Air,Car, Water, Ship," Direction: In each of the following questions, select the related word from the given alternatives. Bird : Fish : : Aeroplane : ? "
81,2.1,b, Rope, Mesh, Sieve, TelegraphQ83.," Direction: In each of the following questions, select the related word from the given alternatives. Thread : Cloth : : Wire : ? "
82,2.1,c, Possibility, Density, Scarcity, Fancy," Direction: In each of the following questions, select the related word from the given alternatives. Spacious : Capacity : : Scanty : ? "
83,2.1,d, Pressure, Density, Stress, Humidity," Direction: In each of the following questions, select the related word from the given alternatives. Thermometer : Temperature : : Hygrometer : ? "
84,2.1,a, Investigation, Mystery, Criminal, Conviction," Direction: In each of the following questions, select the related word from the given alternatives. Lock : Key : : Crime : ? "
85,2.1,d,Transmission,Criticism,Hero,Audience," Direction: In each of the following questions, select the related word from the given alternatives. Radio : Listener : : Film : ? "
86,2.1,d, Domestic, Hunter, Wild, Zoo," Direction: In each of the following questions, select the related word from the given alternatives. Book : Library : : Animal : ? "
87,2.1,c, Medicine, Treatment, Misery, Cheerfulness," Direction: In each of the following questions, select the related word from the given alternatives. Health : Sickness : : Happiness : ? "
88,2.1,a, Circulation, Red, Thick, Shed," Direction: In each of the following questions, select the related word from the given alternatives. Air : Breach : : Blood : ? "
89,2.1,a, Experiment, Laboratory, Scientist, Facts," Direction: In each of the following questions, select the related word from the given alternatives. Mathematics : Logic : : Science : ? "
90,2.1,d, Principal, Actress, Scenario, Director," Direction: In each of the following questions, select the related word from the given alternatives. Magazine : Editor : : Drama : ? "
91,2.1,b, Dog, Cow, Cat, Rabbit," Direction: In each of the following questions, select the related word from the given alternatives. Foot : Man : : Hoof : ? "
92,2.1,a, Sky, Shine, Twinkle, Bright," Direction: In each of the following questions, select the related word from the given alternatives. Drop : Ocean : : Star : ? "
93,2.1,c, Magistrate, Manager, Priest, Temple Artist," Direction: In each of the following questions, select the related word from the given alternatives. Hospital : Doctor : : Temple : ? "
94,2.1,b, Cloth, Dress,Suit, Textile," Direction: In each of the following questions, select the related word from the given alternatives. Author : Novel : : Designer : ? "
95,2.1,a, Crop, Plough,Spade, Land," Direction: In each of the following questions, select the related word from the given alternatives. Tailor : Cloth : : Farmer : ? "
96,2.1,a,Fuel, Plane, Car, Machine," Direction: In each of the following questions, select the related word from the given alternatives. Stomach : Food : : Engine : ? "
97,2.1,a, Fire,Cigarette, Factory,Chimney," Direction: In each of the following questions, select the related word from the given alternatives. Bullet : Gun : : Smoke : ? "
98,2.1,b, Fox,Bull, Frog,Cat," Direction: In each of the following questions, select the related word from the given alternatives. Quack : Duck : : Bellow : ? "
99,2.1,c, Fingers, Feet, Ankle, Thigh," Direction: In each of the following questions, select the related word from the given alternatives. Elbow : Wrist : : Knee : ? "
100,2.1,c, Walk, Play, Speak, Dance," Direction: In each of the following questions, select the related word from the given alternatives. Scribble : Write : : Stammer : ? "
101,2.2,c,OURS and US,SHE and HERS,HIS and HE,THEIRS and THEM," Direction: In each of the following questions, select the related word from the given alternatives. MINE : I : : ? "
102,2.1,a, Equine, Tiger, Vulpine, Quadruped," Direction: In each of the following questions, select the related word from the given alternatives. Cat : Feline ∷ Horse :o "
103,2.1,c,Ear, Eye, Lung, Nose," Direction: In each of the following questions, select the related word from the given alternatives. Fish : Gills : : Man : ? "
104,2.1,c, Oil, Water, Coal, Brick," Direction: In each of the following questions, select the related word from the given alternatives. Brush : Paint : : Shovel : ? "
105,2.1,b, Sloppy, Disorganized, Meticulous, Cautious," Direction: In each of the following questions, select the related word from the given alternatives. Rough : Smooth : : Systematic : ? "
106,2.1,d, Heat, Weight, Volume, Pressure," Direction: In each of the following questions, select the related word from the given alternatives. Thermometer : Temperature : : Barometer : ? "
107,2.1,b, Retreat, Expand, Gradual, Initial," Direction: In each of the following questions, select the related word from the given alternatives. Create : Destroy : : Condense : ? "
108,2.1,d, Prayer, Meditation, Loneliness, Congregation," Direction: In each of the following questions, select the related word from the given alternatives. Cinema : Audience : : Church : ? "
109,2.3,d,Stimulus : Response,Book : Cover,Firing : Running,Birth : Death," Direction: In each of the following questions, select the related word from the given alternatives. Action : Reaction : : ? "
110,2.1,b,Insane, Teetotaler, Introvert, Alcoholic," Direction: In each of the following questions, select the related word from the given alternatives. Meat : Vegetarian : : Liquor : ? "
111,2.1,b,Mercury, Mars, Pluto, Jupiter," Direction: In each of the following questions, select the related word from the given alternatives. Monday : Moon : : Tuesday : ? "
112,2.1,c,Cow, Buffalo, Pig, Fly," Direction: In each of the following questions, select the related word from the given alternatives. Stable : Horse : : Sty : ? "
113,2.1,c,Triangle, Square, Circle, Trapezium," Direction: In each of the following questions, select the related word from the given alternatives. Part : Whole : : Arc : ? "
114,2.1,a,Leaving, Alien, Native, Emigrant," Direction: In each of the following questions, select the related word from the given alternatives. Immigration : Arrival : : Emigration : ? "
115,2.1,d, Sobriety,Simplicity, Raw,Refinement," Direction: In each of the following questions, select the related word from the given alternatives. Monotony : Variety : : Crudeness : ? "
116,2.1,a, Rope,Cotton, Yam,Baskets," Direction: In each of the following questions, select the related word from the given alternatives. Pulp : Paper : : Hemp : ? "
117,2.3,b,Grades : Merit,Thunder : Lightning,Rotate : Churning,Matter : Labour," Direction: In each of the following questions, select the related word from the given alternatives. Injury : Pain : : ? "
118,2.1,a, Appraiser, Weigher, Contractor, Engineer," Direction: In each of the following questions, select the related word from the given alternatives. Book : Critic : : Building : ? "
119,2.1,d, Elongate,Investigate, Examine,Magnify," Direction: In each of the following questions, select the related word from the given alternatives. Microphone : Loud : : Microscope : ? "
120,2.1,d, Forest,Bush, Wood,Grass," Direction: In each of the following questions, select the related word from the given alternatives. Cup : Lip : : Bird : ? "
121,2.3,c, Neck : Collar, Tie : Shirt, Socks : Feet, Coat : Pocket," Direction: In each of the following questions, select the related word from the given alternatives. Glove : Hand : : ? : ? "
122,2.1,c, Bridge, Electricity, Dam, Water," Direction: In each of the following questions, select the related word from the given alternatives. Rain : Umbrella : : Flood : ? "
123,2.1,d, Crew, Host, Airport, Aircraft," Direction: In each of the following questions, select the related word from the given alternatives.Receptionist : Office : : Hostess : ? "
124,2.1,b, Seed, Bud, Fruit, Stem," Direction: In each of the following questions, select the related word from the given alternatives. Adult : Baby : : Flower : ? "
125,2.1,b, Script, Pen, Paper, Book," Direction: In each of the following questions, select the related word from the given alternatives. Typist : Typewriter : : Writer : ? "
126,2.1,b, Plant, Fruit, Flower, Seed," Direction: In each of the following questions, select the related word from the given alternatives. Carrot : Root : : Apple : ? "
127,2.3,b,CROWN : HEAD,WHITE FLAG : SURRENDER,LAURELS : VICTORY,WAR : LIBERTY," Direction: In each of the following questions, select the related word from the given alternatives. PIGEON : PEACE :? "
128,2.1,d,Table, Paper, Book, Pen," Direction: In each of the following questions, select the related word from the given alternatives. Sculptor : Chisel : : Author ; ? "
129,2.1,c,RACK,PRESS,WARDROBE,NAPTHALENE BALLS," Direction: In each of the following questions, select the related word from the given alternatives. BOOK : BOOKCASE : : CLOTHES : ? "
130,2.1,a, Verses, Stanza, Sentences, Lines," Direction: In each of the following questions, select the related word from the given alternatives. Music : Notation : : Poem : ? "
131,2.3,a,Submarine : Aeroplane,Master : Eagle,Rifle : Tank,Hydra : Ocean," Direction: In each of the following questions, select the related word from the given alternatives. Fish : Bird : : ? "
132,2.3,a,Axe : Wood,Stone : Grinder,Knife : Stone,Sickle : Brick," Direction: In each of the following questions, select the related word from the given alternatives. Scissors : Cloth : : ? "
133,2.3,d,Muscle : Bone,Skull : Brain,Ear : Hair,Foot : Ankle," Direction: In each of the following questions, select the related word from the given alternatives. Hand : Wrist : : ? "
134,2.1,b, Silk, Bird, Earth, Fishing," Direction: In each of the following questions, select the related word from the given alternatives. Rat : Cat : : Worm : ? "
135,2.1,a,Carpenter : Wood,Cobbler : Shoes,Jeweler : Jewelry,Barber : Shave," Direction: In each of the following questions, select the related word from the given alternatives. Goldsmith : Gold : : ? "
136,2.3,b,Chef : Restaurant,Librarian : Catalogue,Carpenter : Wood,Physician : Patient," Direction: In each of the following questions, select the related word from the given alternatives. Druggist : Pharmacy : : ? "
137,2.1,c, Airhostess, Flying, Hangar, Landing,"Direction: In each of the following questions, select the related word from the given alternatives. Car : Garage : : Aeroplane : ? "
138,2.1,a, Arrogance, Self - effacing, Simple, Weakness," Direction: In each of the following questions, select the related word from the given alternatives. Cruel : Kind : : Humility : ? "
139,2.1,a, Tanner, Dyer, Cobbler, Butcher," Direction: In each of the following questions, select the related word from the given alternatives. Gold : Goldsmith : : Leather : ? "
140,2.1,a, Man, Fish, Bird, Snake," Direction: In each of the following questions, select the related word from the given alternatives. Insect : Bee : : Mammal : ? "
 ,2.3,c,Movie : Scene,Music : Actor,Drama : Director,Drawing : Artist," Direction: In each of the following questions, select the related word from the given alternatives. Editor : Magazine "
143,2.2,c,"Ear, Nose, Eyesight : Vision","Plus, Minus, Multiple : Division","Winter, Spring, Summer : Seasons","Humid, Hot, Tundra : Region"," Direction: In each of the following questions, select the related word from the given alternatives. Hinduism, Christianity, Islam : Religion "
144,2.1,c, Dialogue, Stage, Play,Direction," Direction: In each of the following questions, select the related word from the given alternatives. Poet : Poem : : Dramatist : ? "
145,2.1,c, Charming, Man, Woman, She," Direction: In each of the following questions, select the related word from the given alternatives. Handsome : Beautiful : : Man : ? "
146,2.1,d,Tree, Wood, Furniture, Saw," Direction: In each of the following questions, select the related word from the given alternatives. Mechanic : Spanner : : Carpenter : ? "
147,2.1,b, Drink, Dam, Canal, River," Direction: In each of the following questions, select the related word from the given alternatives. Grain : Warehouse : : Water : ? "
148,2.1,b, Weakness, Medicine, Sickness, Water," Direction: In each of the following questions, select the related word from the given alternatives. Hunger : Food : : Disease : ? "
149,2.1,b, Short, Tall, Broad, Long," Direction: In each of the following questions, select the related word from the given alternatives. Thin : Thick : : Dwarf : ? "
150,2.1,d,PEOPLE,POPULATION,GEOGRAPHY,HISTORYQ152.," Direction: In each of the following questions, select the related word from the given alternatives. MAN : BIOGRAPHY : : NATION : ? "
151,2.1,c, Iron,Volcano, Mine, Factory," Direction: In each of the following questions, select the related word from the given alternatives. Crop : Farm : : Ore : ? "
152,2.1,c, Plague, Death, Malaria, Sting," Direction: In each of the following questions, select the related word from the given alternatives. Dog : Rabies : : Mosquito : ? "
153,2.1,d, Heat, Radiation, Energy, Temperature," Direction: In each of the following questions, select the related word from the given alternatives. Clock : Time : : Thermometer : ? "
154,2.1,b, CUSTOMER, CLIENT, CONSUMER, BUYER," Direction: In each of the following questions, select the related word from the given alternatives. DOCTOR : PATIENT : : LAWYER : ? "
155,2.1,c, Stalemate, Anger, Failure, Anxiety," Direction: In each of the following questions, select the related word from the given alternatives. Encouragement : Victory : : Frustration : ? "
156,2.1,c, Grass, Race, Hoof, Transport," Direction: In each of the following questions, select the related word from the given alternatives. Dog : Canine : : Horse : ? "
157,2.1,b, Hedgehog, Lion, Cat, Dog," Direction: In each of the following questions, select the related word from the given alternatives. Tadpole : Frog : : Cub : ? "
158,2.1,c, Child, Teacher, Painter, Potter," Direction: In each of the following questions, select the related word from the given alternatives. Brick : Mason : : Colour : ? "
159,2.1,a, Enjoyment, Learning, Injury, Champion," Direction: In each of the following questions, select the related word from the given alternatives. Sleep : Rest : : Play : ? "
160,2.1,d, Smartness, Strength, Horse, Fatigue," Direction: In each of the following questions, select the related word from the given alternatives. Fast : Hunger : : Race : ? "
161,2.1,a, Synthesis, Synchronize, Simplify, Summarise," Direction: In each of the following questions, select the related word from the given alternatives. Antonym : Synonym : : Analysis : ? "
162,2.1,b, Farmer, Tailor, Painter, Artist," Direction: In each of the following questions, select the related word from the given alternatives. Saw : Carpenter : : Scissors : ? "
163,2.3,a, Lion : Cub, Cow : Bull, Duck : Drake, Fish : Prawn," Direction: In each of the following questions, select the related word from the given alternatives. Human : Child : : ? "
164,2.1,c,Iron, Aluminium, Wood, Coal," Direction: In each of the following questions, select the related word from the given alternatives. Good conductor : Copper : : Bad conductor : ? "
165,2.1,d,Heat, Light, Smoke, Ashes," Direction: In each of the following questions, select the related word from the given alternatives. Volcano : Lava : : Fire : ? "
166,2.3,a,Medal : Decoration,Bronze : Medal,Scarf : Dress,Window : House," Direction: In each of the following questions, select the related word from the given alternatives. Necklace : Adornment : : ? "
167,2.1,d,Opposite,Disappointment,Wall,Down," Direction: In each of the following questions, select the related word from the given alternatives. Black : White : : up : ? "
168,2.1,c,Mason, Painter, Sculptor, Calligrapher," Direction: In each of the following questions, select the related word from the given alternatives. Book : Author : : Statue : ? "
169,2.1,c,Weep, Pain, Despair, Sadness," Direction: In each of the following questions, select the related word from the given alternatives. Life : Death : : Hope : ? "
170,2.1,d, Geeta, Ramayan, Angel, Bible," Direction: In each of the following questions, select the related word from the given alternatives. Christian : Muslim : : ? : Quran "
171,2.3,c, Cat : Tiger, Warmth : Frost, Plump : Fat, Royal : Regale," Direction: In each of the following questions, select the related word from the given alternatives. Large : Enormous : : ? "
172,2.1,b, Era, End, Time, Commence," Direction: In each of the following questions, select the related word from the given alternatives. Life : Death : : Beginning : ? "
173,2.1,c, Hand, Wrist, Elbow, Sleeve," Direction: In each of the following questions, select the related word from the given alternatives. Leg : Knee : : Arm : ? "
174,2.3,b,Shout : Yell,Intrude : Enter,Interfere : Clash,Telephone : Telegraph," Direction: In each of the following questions, select the related word from the given alternatives. Interrupt : Speak : : ? "
175,2.1,d, Trustful, Companion, Adorer, Enemy," Direction: In each of the following questions, select the related word from the given alternatives. Love : Hate : : Friend : ? "
176,2.1,a, Malnutrition, Illiteracy, Drought, Death," Direction: In each of the following questions, select the related word from the given alternatives. Poverty : Unemployment : : Anaemia : ? "
177,2.3,b,gain : success,dearth : surplus,seeing : believing,heart : soul," Direction: In each of the following questions, select the related word from the given alternatives. Encourage : Restrict : : ? "
178,2.1,c, Lazy,Idle, Labour,Work," Direction: In each of the following questions, select the related word from the given alternatives. Defy : Obey : : Rest : ?"
179,2.1,a, Walk,Stand, Sit,Move," Direction: In each of the following questions, select the related word from the given alternatives. Water : Swim : : Land : ? "
180,2.3,a,Student : Advisor,Scissor : Iron,Apple ,Nurse : Surgeon," Direction: In each of the following questions, select the related word from the given alternatives. Patient : Doctor : : ? "
181,2.3,a,Man : Foot,Dog : Black,Paise : Rupee,Pen : Pencil," Direction: In each of the following questions, select the related word from the given alternatives. Horse : Hoof : : ? "
182,2.1,d, Noon, Forenoon, Afternoon, Evening," Direction: In each of the following questions, select the related word from the given alternatives. Night : Morning : : ? : Night "
183,2.1,c, Isolate, Foam, Extinguishes, Explode," Direction: In each of the following questions, select the related word from the given alternatives. Oxygen : Burn : : Carbon dioxide : ? "
184,2.1,c, Life, Live, Dead, Funeral," Direction: In each of the following questions, select the related word from the given alternatives. Yes : No : : Alive : ? "
185,2.1,c, December, February,November, March," Direction: In each of the following questions, select the related word from the given alternatives. Today : Day before yesterday : : January : ? "
186,2.3,b, Cat : Mouse, Beast : Den, Tree : Plant, Cage : Rat," Direction: In each of the following questions, select the related word from the given alternatives. Man : House : : ? "
187,2.3,d,Pen : Ink,Ball : Stick,Fruit : Juice,Grass : Horses," Direction: In each of the following questions, select the related word from the given alternatives. Fodder : Cattle : : ? "
188,2.1,b, Ear, Hearing, Noise, Commotion," Direction: In each of the following questions, select the related word from the given alternatives. Stammering : Speech : : Deafness : ? "
189,2.1,d,HAPPY,JOY,WONDERFUL,DISPLEASURE," Direction: In each of the following questions, select the related word from the given alternatives. RIGHT : WRONG : : PLEASURE : ? "
190,2.1,a,Niece, Sister-in-law, Sister, Mother," Direction: In each of the following questions, select the related word from the given alternatives. Son : Nephew : : Daughter : ? "
191,2.1,c,Pendant, Chain, Bangle, Ribbon," Direction: In each of the following questions, select the related word from the given alternatives. Ring : Ear : : ? : Wrist "
192,2.1,b,Metal, Nail, Glass, Iron," Direction: In each of the following questions, select therelated word from the given alternatives. Wood : Paper : : Steel : ? "
193,2.1,b,Stars, Night, Planets, Darkness," Direction: In each of the following questions, select the related word from the given alternatives. Sun : Day : : Moon : ? "
194,2.1,a,Wood, Paint, Table, Tree," Direction: In each of the following questions, select the related word from the given alternatives. Jewellery : Gold : : Furniture : ? "
195,2.1,b,Make-up, Dance, Music, Picture," Direction: In each of the following questions, select the related word from the given alternatives. Author : Novel : : Choreographer : ? "
196,2.1,d, Wheel, Carburettor, Cylinder, Petrol," Direction: In each of the following questions, select the related word from the given alternatives. Human : Carbohydrate : : Engine : ? "
197,2.1,d, Keyboard, Television, Printer, Laptop," Direction: In each of the following questions, select the related word from the given alternatives. Telephone : Mobile phone : : Computer : ? "
