,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
63,d,https://i.imgur.com/hDVwdA0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,b,https://i.imgur.com/F23xdHa.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,b,https://i.imgur.com/MpyJuEs.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,a,https://i.imgur.com/ZLscsXH.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,c,https://i.imgur.com/kHtio01.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,b,https://i.imgur.com/hz7HzXQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,d,https://i.imgur.com/3V97nTo.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,a,https://i.imgur.com/thcxOj7.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,b,https://i.imgur.com/TD64bOt.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,c,https://i.imgur.com/h25SsAO.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,a,https://i.imgur.com/7FZHTCn.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,c,https://i.imgur.com/vV6TG8N.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/FOdgH44.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,b,https://i.imgur.com/LoVSwcz.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/Jxm4VPW.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/pOuwJsN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/mG5Nst6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/5qnEGrB.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,c,https://i.imgur.com/T3hsVXq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/ZU7DlVt.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,a,https://i.imgur.com/2ektloi.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/koFmGiJ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,c,https://i.imgur.com/1bRIGMy.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,d,https://i.imgur.com/9HMQzui.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,d,https://i.imgur.com/IAzSHoX.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,d,https://i.imgur.com/jGNBOz3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,d,https://i.imgur.com/wzn1Zoq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/gP5DrH8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/sI8LsAS.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,c,https://i.imgur.com/1bjHTXi.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,a,https://i.imgur.com/nDsWRmt.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,c,https://i.imgur.com/mhBTKhR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,c,https://i.imgur.com/d4TVBxR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,c,https://i.imgur.com/EKThwAv.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,d,https://i.imgur.com/6oTfSA9.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/KrF91Ws.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,d,https://i.imgur.com/TJP41U3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,d,https://i.imgur.com/7oeoaYF.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,b,https://i.imgur.com/fuMh0qb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,b,https://i.imgur.com/GnxgYBQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,a,https://i.imgur.com/OtvQPIL.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,d,https://i.imgur.com/K2YtNa7.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,d,https://i.imgur.com/1sjDvGC.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,b,https://i.imgur.com/9vxmyYr.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,d,https://i.imgur.com/BZ7xwab.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,b,https://i.imgur.com/gnY80L8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,b,https://i.imgur.com/0JPRwR1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,b,https://i.imgur.com/NQBgU3r.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,b,https://i.imgur.com/D0sfbbv.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,a,https://i.imgur.com/vdTbIpz.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,c,https://i.imgur.com/973cbLd.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,a,https://i.imgur.com/VAe6xqW.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,a,https://i.imgur.com/2VViFF1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,a,https://i.imgur.com/mj7luCF.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,d,https://i.imgur.com/kL5IXjh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,b,https://i.imgur.com/w8H0BbZ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,b,https://i.imgur.com/sOpnL4e.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,a,https://i.imgur.com/6A2eZ0d.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,c,https://i.imgur.com/Lbbb3kp.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,d,https://i.imgur.com/4hPA33b.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,d,https://i.imgur.com/eTmoyE8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,b,https://i.imgur.com/Y9Ngxeg.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,c,https://i.imgur.com/37FAXsX.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,b,https://i.imgur.com/Ucjo6x3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,b,https://i.imgur.com/WUiu6Bw.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
63,c,https://i.imgur.com/uJzqZpP.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,b,https://i.imgur.com/f3ZaSyh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,c,https://i.imgur.com/nsPydET.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,d,https://i.imgur.com/E0Z0FiX.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,d,https://i.imgur.com/v8VNHUA.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,b,https://i.imgur.com/AEly9ki.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,a,https://i.imgur.com/X4mWxqB.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,c,https://i.imgur.com/C63ozJa.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,b,https://i.imgur.com/kRXCgg6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,a,https://i.imgur.com/ZZYpN1y.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,c,https://i.imgur.com/mqJxN0H.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,a,https://i.imgur.com/Id92CI6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,c,https://i.imgur.com/J3hQ3ct.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,b,https://i.imgur.com/4GzJJYD.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,a,https://i.imgur.com/HQ65iT0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,c,https://i.imgur.com/RvB2odl.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,d,https://i.imgur.com/dwJNoOI.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,d,https://i.imgur.com/Owuf7AN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,a,https://i.imgur.com/cySuO7x.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,d,https://i.imgur.com/jJC6SbT.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,a,https://i.imgur.com/2TwGMZR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,c,https://i.imgur.com/DCslc0E.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,c,https://i.imgur.com/37j7P4m.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,a,https://i.imgur.com/VVekGDR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,b,https://i.imgur.com/WK2jTj0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
90,c,https://i.imgur.com/1gYqBFE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
91,c,https://i.imgur.com/MP3WKEs.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,c,https://i.imgur.com/JQuSpt8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
93,d,https://i.imgur.com/hiFQefM.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,a,https://i.imgur.com/kd1DTHu.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
95,d,https://i.imgur.com/BuCB6IY.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
96,d,https://i.imgur.com/4qOZ7WE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
97,a,https://i.imgur.com/Cm8hvfC.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,a,https://i.imgur.com/LIzpM6h.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,a,https://i.imgur.com/aDKVmN0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
100,d,https://i.imgur.com/NbJXgEc.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
