,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
94,b,https://i.imgur.com/0Y4LiiD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
95,b,https://i.imgur.com/qE9Mtts.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
96,d,https://i.imgur.com/BwqADTv.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
97,c,https://i.imgur.com/AhVGEIO.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
98,a,https://i.imgur.com/HhLhSk3.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
99,d,https://i.imgur.com/G0zZ8Nk.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
100,d,https://i.imgur.com/GIEbfkw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
101,c,https://i.imgur.com/R6wgolE.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
102,a,https://i.imgur.com/3dZzhAz.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
103,c,https://i.imgur.com/sKRrswF.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
106,c,https://i.imgur.com/5XqHllq.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
107,c,https://i.imgur.com/EOCLbzn.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
108,c,https://i.imgur.com/7kWNLT4.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
109,d,https://i.imgur.com/eUeWBRA.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
110,b,https://i.imgur.com/sLtqsXa.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
112,c,https://i.imgur.com/8fkVbPw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
113,d,https://i.imgur.com/aHKRZdJ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
114,b,https://i.imgur.com/oZOZpYN.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
115,c,https://i.imgur.com/ucff1Q7.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
116,c,https://i.imgur.com/VBWaSOd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
