,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
61,c,https://i.imgur.com/veLYo1n.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
62,a,https://i.imgur.com/q5Xw9rG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
63,a,https://i.imgur.com/SdMTliH.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
64,c,https://i.imgur.com/8oLd6nm.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
65,a,https://i.imgur.com/u4Zo33b.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
66,d,https://i.imgur.com/hE41GOA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
68,b,https://i.imgur.com/CI1f5Vx.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
69,d,https://i.imgur.com/AF8HEhy.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,c
70,d,https://i.imgur.com/SZ2Dhar.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
71,a,https://i.imgur.com/BLCD6RQ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
72,c,https://i.imgur.com/CqJl9U0.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
73,d,https://i.imgur.com/60H6f9S.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
74,c,https://i.imgur.com/4o1QFXR.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
75,a,https://i.imgur.com/Gnh7qSD.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
77,b,https://i.imgur.com/ovEKPUY.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
78,c,https://i.imgur.com/U60NytU.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
79,b,https://i.imgur.com/07K9JER.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
80,b,https://i.imgur.com/6iZpHro.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
81,d,https://i.imgur.com/CNXaTUQ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
82,b,https://i.imgur.com/YcSjfpG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
84,d,https://i.imgur.com/30Ht47t.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
85,c,https://i.imgur.com/6aPUPXe.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
86,a,https://i.imgur.com/8UM0dkA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
87,b,https://i.imgur.com/jOAZAZ1.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
88,b,https://i.imgur.com/r8r5ESn.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
90,c,https://i.imgur.com/f6GXC8W.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
