,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
56,a,https://i.imgur.com/Zsw16A2.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,c,https://i.imgur.com/e6IGGy7.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,a,https://i.imgur.com/Mg1lskj.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,d,https://i.imgur.com/DiJ1HIf.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,b,https://i.imgur.com/V1VA7Rs.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,b,https://i.imgur.com/VyjOLPi.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,a,https://i.imgur.com/1m1wOlf.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
63,d,https://i.imgur.com/KsPbDjM.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,b,https://i.imgur.com/mwjRcGW.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,a,https://i.imgur.com/cjy61PD.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,b,https://i.imgur.com/IESZekc.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,b,https://i.imgur.com/IvRMQZa.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
68,c,https://i.imgur.com/p5WA9Cr.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,b,https://i.imgur.com/CkikwO3.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,b,https://i.imgur.com/YSmcRwp.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,c,https://i.imgur.com/aavEJRV.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,d,https://i.imgur.com/B2Sgx0U.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,b,https://i.imgur.com/n7BgUPI.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,d,https://i.imgur.com/Qw7HAtJ.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,a,https://i.imgur.com/paK1Zyh.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,d,https://i.imgur.com/SRvlmPJ.png,,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
