,correct,QuestionLink,category,Direction,optA,optB,optC,optD
12,c,https://image.ibb.co/fN3Vpx/tscan99_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
13,d,https://image.ibb.co/hRHC2H/tscan99_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
14,a,https://image.ibb.co/mJXO9x/tscan99_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
15,d,https://image.ibb.co/eVNehH/tscan99_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
16,b,https://image.ibb.co/gSsO9x/tscan99_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
17,c,https://image.ibb.co/kK7ZGc/tscan99_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
18,a,https://image.ibb.co/cMVApx/tscan99_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
19,a,https://image.ibb.co/b57qpx/tscan99_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
20,b,https://image.ibb.co/iYQzhH/tscan99_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
21,c,https://image.ibb.co/neNO9x/tscan99_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
22,d,https://image.ibb.co/eLPQNH/tscan99_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
23,b,https://image.ibb.co/npUs2H/tscan99_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
24,d,https://image.ibb.co/b26GUx/tscan99_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
25,a,https://image.ibb.co/dzc1wc/tscan99_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
26,c,https://image.ibb.co/jZgi9x/tscan99_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
27,d,https://image.ibb.co/fLpEGc/tscan99_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
28,b,https://image.ibb.co/f5AbUx/tscan99_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
29,b,https://image.ibb.co/ioy8bc/tscan99_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
30,a,https://image.ibb.co/fbvzhH/tscan99_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
31,d,https://image.ibb.co/k1X1wc/tscan99_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
32,c,https://image.ibb.co/k2JKhH/tscan99_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
33,d,https://image.ibb.co/kBnZGc/tscan99_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
34,b,https://image.ibb.co/i86Tbc/tscan99_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
35,d,https://image.ibb.co/hzR5NH/tscan99_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
1,c,https://image.ibb.co/kqxZGc/tscan_A106_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
2,c,https://image.ibb.co/eKwTbc/tscan_A106_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
3,c,https://image.ibb.co/cvjgwc/tscan_A106_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
4,d,https://image.ibb.co/bQd8bc/tscan_A106_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
5,b,https://image.ibb.co/eWNqpx/tscan_A106_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
6,d,https://image.ibb.co/mqDKhH/tscan_A106_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
7,a,https://image.ibb.co/enOwUx/tscan_A106_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
8,d,https://image.ibb.co/bEqzhH/tscan_A106_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
9,c,https://image.ibb.co/kb9s2H/tscan_A106_09.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
10,c,https://image.ibb.co/gdowUx/tscan_A106_10.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
11,d,https://image.ibb.co/jNLApx/tscan_A106_11.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
12,d,https://image.ibb.co/bQikNH/tscan_A106_12.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
14,a,https://image.ibb.co/eOxC2H/tscan_A106_13.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
15,d,https://image.ibb.co/cytVpx/tscan_A106_14.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
16,d,https://image.ibb.co/iub5NH/tscan_A106_15.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
17,b,https://image.ibb.co/dHN1wc/tscan_A106_16.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
18,b,https://image.ibb.co/nnPs2H/tscan_A106_17.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
19,b,https://image.ibb.co/dZQApx/tscan_A106_18.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
20,b,https://image.ibb.co/dgBi9x/tscan_A106_19.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
21,c,https://image.ibb.co/hg9s2H/tscan_A106_20.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
22,b,https://image.ibb.co/e0twUx/tscan_A106_21.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
23,d,https://image.ibb.co/bCSehH/tscan_A106_22.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
24,d,https://image.ibb.co/d9xO9x/tscan_A106_23.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
25,d,https://image.ibb.co/kzgi9x/tscan_A106_24.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
26,d,https://image.ibb.co/huGuGc/tscan_A106_25.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
27,a,https://image.ibb.co/eqwi9x/tscan_A106_26.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
28,a,https://image.ibb.co/iPruGc/tscan_A106_27.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
29,c,https://image.ibb.co/fc0obc/tscan_A106_28.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
30,b,https://image.ibb.co/gRZs2H/tscan_A106_29.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
31,b,https://image.ibb.co/m7eQNH/tscan_A106_30.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
32,d,https://image.ibb.co/j4yKhH/tscan_A106_31.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
33,a,https://image.ibb.co/ew65NH/tscan_A106_32.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
34,b,https://image.ibb.co/c18wUx/tscan_A106_33.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
35,a,https://image.ibb.co/jhS6Ux/tscan_A106_34.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
36,b,https://image.ibb.co/kPJD9x/tscan_A106_35.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
37,b,https://image.ibb.co/cQ8D9x/tscan_A106_36.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
38,b,https://image.ibb.co/ni0RUx/tscan_A106_37.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
39,a,https://image.ibb.co/d0rY9x/tscan_A106_38.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
40,a,https://image.ibb.co/nt2Jbc/tscan_A106_39.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
41,b,https://image.ibb.co/hcS6Ux/tscan_A106_40.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
42,d,https://image.ibb.co/fUnjGc/tscan_A106_41.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
43,c,https://image.ibb.co/hfrdbc/tscan_A106_42.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
44,c,https://image.ibb.co/iyYrwc/tscan_A106_43.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
45,c,https://image.ibb.co/knMdbc/tscan_A106_44.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
46,c,https://image.ibb.co/kKzmUx/tscan_A106_45.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
47,a,https://image.ibb.co/jwemUx/tscan_A106_46.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
48,d,https://image.ibb.co/n9K9hH/tscan_A106_47.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D
