,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
7,a,https://i.imgur.com/jh808UK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/8gH4MGT.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,b,https://i.imgur.com/zgkSs7D.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/V2BkCy9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,a,https://i.imgur.com/Nvvoec2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,a,https://i.imgur.com/S9vrlED.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/64TXo5D.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,b,https://i.imgur.com/wiig76R.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/zSbP9Ne.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/kUv5tES.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/KwN9upS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,b,https://i.imgur.com/Tw6KkWX.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,d,https://i.imgur.com/4KXFyFw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,b,https://i.imgur.com/q2bgB5v.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,d,https://i.imgur.com/5yTKuKn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,c,https://i.imgur.com/t9ZyIWH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,c,https://i.imgur.com/OZHIUsA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,c,https://i.imgur.com/h2V1d4a.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/ZK8zP3m.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,a,https://i.imgur.com/7NgMZOp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,d,https://i.imgur.com/RyFcbn8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,d,https://i.imgur.com/wicLjMT.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/gNbQnie.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/Y5MWq0N.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,a,https://i.imgur.com/EcOBJF2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/6ZRAD9A.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/w1oitfj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/s5Su6D0.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,d,https://i.imgur.com/SDEAkZQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,a,https://i.imgur.com/bvknuaY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,b,https://i.imgur.com/tlz6w2P.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,a,https://i.imgur.com/xa4UzO6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/YjBbnc5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,c,https://i.imgur.com/byLJI4t.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,c,https://i.imgur.com/P4Fl3r8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,c,https://i.imgur.com/T7HrOgw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/fDlRLHn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,a,https://i.imgur.com/wKZsf7u.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://i.imgur.com/iVGmfd9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/KqnQWwc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,b,https://i.imgur.com/cWbJkOf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,d,https://i.imgur.com/DwINJat.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/JWhG66q.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/bBwsoG1.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://i.imgur.com/VDUBPxo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/xeGHXDG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,d,https://i.imgur.com/RCoeO5b.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/Y3KUsaL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,b,https://i.imgur.com/I52BJjZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,a,https://i.imgur.com/7tD1UwB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,c,https://i.imgur.com/x6HUoy8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,a,https://i.imgur.com/lg3Vdch.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,d,https://i.imgur.com/NrpzACk.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/ZbHvJvO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,a,https://i.imgur.com/qX6X3B2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,b,https://i.imgur.com/EsIX6Zs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,b,https://i.imgur.com/ejo8166.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,a,https://i.imgur.com/1cgiaTG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,d,https://i.imgur.com/6qKfz3z.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,b,https://i.imgur.com/oMnbEoo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,a,https://i.imgur.com/Df4ym62.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,c,https://i.imgur.com/OBbrokB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,a,https://i.imgur.com/WJAhTOE.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,d,https://i.imgur.com/C0ApH8E.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,c,https://i.imgur.com/969fFWM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,a,https://i.imgur.com/1jkLHvb.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://i.imgur.com/SUWuuMQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,c,https://i.imgur.com/X8DEmVw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,a,https://i.imgur.com/P14pwBR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/oHw1IQz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,d,https://i.imgur.com/hFtXIQ6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/24dj9cK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://i.imgur.com/jpBqvJ2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/YS4nfwJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/dS7sNun.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,b,https://i.imgur.com/oryjTmf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,c,https://i.imgur.com/qTfCgjo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,c,https://i.imgur.com/0fPFJZn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,b,https://i.imgur.com/qnxE3nM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/9q7vtbI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,a,https://i.imgur.com/lONw6LJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,b,https://i.imgur.com/GdObZpt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,b,https://i.imgur.com/I19f8Vs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,a,https://i.imgur.com/Xswlh5R.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,a,https://i.imgur.com/WJXIX5H.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,d,https://i.imgur.com/Aj0xEPw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,c,https://i.imgur.com/7hBHcHR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://i.imgur.com/MZI5YpI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/ctBF54k.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,d,https://i.imgur.com/lTTPUiA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,b,https://i.imgur.com/vwyPre5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,c,https://i.imgur.com/IZPEJeV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,a,https://i.imgur.com/YcDUfWp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,a,https://i.imgur.com/mx6DRyK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,a,https://i.imgur.com/DW6aGHH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,a,https://i.imgur.com/QhOrZ6g.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,b,https://i.imgur.com/VN7snVz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,c,https://i.imgur.com/FoDLwQi.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,d,https://i.imgur.com/dnEnNsq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,b,https://i.imgur.com/aUWmgn1.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,b,https://i.imgur.com/a5sBWry.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,b,https://i.imgur.com/jznGqBR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,c,https://i.imgur.com/ExMg4G4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,a,https://i.imgur.com/Olc1nZK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,a,https://i.imgur.com/K2wf5fO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,a,https://i.imgur.com/mo5SVB2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,c,https://i.imgur.com/gETGbLR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,c,https://i.imgur.com/HvoeJaw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,a,https://i.imgur.com/nIcPV2A.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,b,https://i.imgur.com/7TxwyEV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,c,https://i.imgur.com/uIZkUvp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,c,https://i.imgur.com/7L9hJn8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,b,https://i.imgur.com/tcdyr8X.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,a,https://i.imgur.com/pLHDPxx.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,b,https://i.imgur.com/Wp0Yi4J.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,b,https://i.imgur.com/UiPrHs2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,c,https://i.imgur.com/tK9xmPQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/3JvhTgc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,a,https://i.imgur.com/XJY47Uq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,d,https://i.imgur.com/ysBBE9k.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
